distance_bin,P_t_dB,MCS,numerology,protocol_type,num_lanes,success,PIR,cumulative_PRR,cumulative_PIR
20.0,23,4,0,0,4,0.9799568061849868,0.1020453140065471,0.9897276925161824,0.1010434784010045
30.0,23,4,0,0,4,0.9697511868126624,0.1031192344591769,0.9847335660903024,0.1015624174155476
40.0,23,4,0,0,4,0.9612145493804624,0.1040350461449565,0.9800297627483344,0.1020569431614294
50.0,23,4,0,0,4,0.949252378794744,0.1053460620525059,0.9749001987560694,0.1026051296432755
60.0,23,4,0,0,4,0.9381371401019424,0.1065942235152672,0.9696483332340512,0.1031750001964171
70.0,23,4,0,0,4,0.9285743645150116,0.1076919671934184,0.9645140871441712,0.1037396210710423
80.0,23,4,0,0,4,0.9194112735417688,0.1087652532416517,0.959502663410571,0.1042980246455544
90.0,23,4,0,0,4,0.9068674111766852,0.1102697028998398,0.9542391381871824,0.104895192470983
100.0,23,4,0,0,4,0.8955069764978951,0.1116685884358769,0.9488998507608836,0.1055109557405188
110.0,23,4,0,0,4,0.8858917123263629,0.1128806135203576,0.9436491725580068,0.1061250938888387
120.0,23,4,0,0,4,0.8735606821823317,0.1144740165619401,0.9382577502214164,0.1067673187098465
130.0,23,4,0,0,4,0.8581820946973537,0.116525386183064,0.9325380605411262,0.107464323529362
140.0,23,4,0,0,4,0.8475781379636385,0.1179832224557567,0.9268740657026272,0.1081655834577883
150.0,23,4,0,0,4,0.8331241160708667,0.1200301348514725,0.921014693850642,0.1089071179198936
160.0,23,4,0,0,4,0.8188377416588449,0.1221243170807133,0.9150042848981834,0.1096846002234712
170.0,23,4,0,0,4,0.8030659436410235,0.1245227752363768,0.9087854881616746,0.1105089432797438
180.0,23,4,0,0,4,0.7888569831756249,0.1267656902743507,0.9024734615834614,0.1113645615426178
190.0,23,4,0,0,4,0.7764889749600788,0.1287848291795015,0.8961742372522922,0.112235574924462
200.0,23,4,0,0,4,0.7567530352135144,0.1321435069920604,0.889535132393303,0.1131835716895857
210.0,23,4,0,0,4,0.7478806805243812,0.133711168912512,0.8830962936719882,0.1141166442906278
220.0,23,4,0,0,4,0.7328205265232233,0.1364590597297235,0.8765625646655202,0.115088053657545
230.0,23,4,0,0,4,0.7237253997913077,0.1381739538626609,0.870194349462428,0.1160499661660915
240.0,23,4,0,0,4,0.7066892971246006,0.1415049023763104,0.863654147368915,0.1170681636145003
250.0,23,4,0,0,4,0.69279509854619,0.1443428225890267,0.8570826454911178,0.1181171889596744
260.0,23,4,0,0,4,0.6800938476483729,0.147038530558363,0.8505275048302754,0.1191883497596258
270.0,23,4,0,0,4,0.6663923746828498,0.1500617410989916,0.843951250182153,0.1202909708788889
280.0,23,4,0,0,4,0.6506830568780432,0.1536846532931053,0.8372868297233906,0.1214424771690343
290.0,23,4,0,0,4,0.6375253238904306,0.1568565141691323,0.830628112862292,0.1226229450690375
300.0,23,4,0,0,4,0.6254088228022463,0.1598954097768139,0.8240081357635808,0.1238252826402561
310.0,23,4,0,0,4,0.6048896171689725,0.1653194188850915,0.8171606820574993,0.1251219743979073
320.0,23,4,0,0,4,0.5872153103542049,0.1702952873277104,0.8101926404907328,0.1264908626685073
330.0,23,4,0,0,4,0.5728992326396565,0.1745507661779296,0.80321342261276,0.1279043892423139
340.0,23,4,0,0,4,0.5551728873723021,0.1801240699510951,0.7961265501773183,0.1293963801197076
350.0,23,4,0,0,4,0.5390101563106501,0.1855252611276708,0.7889844281254663,0.1309555157032622
360.0,23,4,0,0,4,0.5216386605646558,0.1917035824985699,0.7817588668400391,0.1325973553463786
370.0,23,4,0,0,4,0.5095942992074046,0.1962345343257069,0.7745966413760224,0.1342720179510977
380.0,23,4,0,0,4,0.4858477946815531,0.20582577732095,0.767192824794113,0.1361067297298119
390.0,23,4,0,0,4,0.4724180051905514,0.2116769447846609,0.7598234543040239,0.1379959851061831
400.0,23,4,0,0,4,0.4618892895490649,0.2165020974996592,0.752556767358781,0.1399107683352923
410.0,23,4,0,0,4,0.4489437978377847,0.2227450306288286,0.7453278871320906,0.1418830126756146
420.0,23,4,0,0,4,0.4269708741277179,0.2342080129102376,0.7379242356668726,0.1440301057043268
430.0,23,4,0,0,4,0.4179076389058301,0.2392873225811831,0.7306511311950307,0.1461950424515281
440.0,23,4,0,0,4,0.4111852844946755,0.2431993647897555,0.7235518901572451,0.1483506940590442
450.0,23,4,0,0,4,0.3974984205407784,0.2515733266661905,0.7164637712525392,0.1505946643331126
460.0,23,4,0,0,4,0.3783129264936833,0.2643314383328894,0.7092690724278828,0.15301459569481
470.0,23,4,0,0,4,0.3759553925449134,0.2659890029055868,0.7023250374303208,0.1553682291783678
480.0,23,4,0,0,4,0.367066828709919,0.2724299560149761,0.6954830331707209,0.157757244011768
490.0,23,4,0,0,4,0.3495333345051236,0.2860957457507794,0.6885640391974089,0.1603240140465482
0.0,23,11,0,2,4,0.9993973523019166,0.1000603011101335,0.9993973523019166,0.1000603011101335
10.0,23,11,0,2,4,0.9982248361903374,0.1001778320620069,0.998811094246127,0.1001190665860702
20.0,23,11,0,2,4,0.9966450826540718,0.1003366210704611,0.9980890903821086,0.1001915847475338
30.0,23,11,0,2,4,0.9951542876828224,0.1004869307580898,0.9973553897072872,0.1002654212501728
40.0,23,11,0,2,4,0.9936127942783352,0.100642826436862,0.9966068706214968,0.1003409022875107
50.0,23,11,0,2,4,0.9920647995606808,0.1007998671500927,0.9958498587780276,0.1004173964312743
60.0,23,11,0,2,4,0.990594065433647,0.1009495246231094,0.9950990311574016,0.1004934147443936
70.0,23,11,0,2,4,0.9896243581434768,0.1010484424490104,0.994414697030661,0.1005627932074707
80.0,23,11,0,2,4,0.9880968702432302,0.1012046521060065,0.993712716276502,0.1006341108628636
90.0,23,11,0,2,4,0.9865656382604058,0.1013617301493778,0.9929980084748924,0.100706872791515
100.0,23,11,0,2,4,0.9845109995030767,0.101573268404796,0.9922264622047272,0.100785636029086
110.0,23,11,0,2,4,0.9834721089724286,0.101680565302949,0.9914969327687024,0.1008602134685746
120.0,23,11,0,2,4,0.981777175066456,0.1018561059878287,0.9907492590992988,0.1009368205854403
130.0,23,11,0,2,4,0.9795552716943712,0.1020871439209617,0.9899496885703756,0.1010189865379775
140.0,23,11,0,2,4,0.977290628770078,0.1023237070489974,0.9891057512503556,0.1011059679053789
150.0,23,11,0,2,4,0.9763947894100105,0.1024175887505763,0.988311316135334,0.1011879442082037
160.0,23,11,0,2,4,0.9736933479859248,0.1027017389066578,0.987451435655957,0.1012769909551716
170.0,23,11,0,2,4,0.9701251308740864,0.1030794861585532,0.9864888631680756,0.1013771295775817
180.0,23,11,0,2,4,0.9658551888996116,0.1035351894872863,0.9854028803118404,0.1014907116780924
190.0,23,11,0,2,4,0.959365326471998,0.1042355787109206,0.9841010026198482,0.1016279550297338
200.0,23,11,0,2,4,0.9517244820494908,0.1050724257766859,0.9825592635450694,0.1017919774462554
210.0,23,11,0,2,4,0.944171060946678,0.1059130110382058,0.9808143452451424,0.1019792971549804
220.0,23,11,0,2,4,0.9381759243530944,0.1065898169034273,0.9789605008585316,0.1021797545353477
